EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
2,1,0.0714286,14,0,-nan,14
5,5,0.00102965,971.2,0,-nan,4856
5,5,0.000413394,2419,0,-nan,12095
5,5,0.000331873,3013.2,0,-nan,15066
2,1,0.000117772,8491,0,-nan,8491
5,5,0.000546388,1830.2,0,-nan,9151
5,5,0.000364246,2745.4,0,-nan,13727
5,5,0.000628299,1591.6,0,-nan,7958
5,5,0.000248534,4023.6,0,-nan,20118
5,5,0.000352386,2837.8,0,-nan,14189
5,5,1.96078e-05,51000.2,0,-nan,255001
5,5,0.000454504,2200.2,0,-nan,11001
5,5,5.55531e-05,18000.8,0,-nan,90004
5,5,0.000318248,3142.2,0,-nan,15711
